編號,書名,所在冊, 起始頁碼, 所屬類別, 版本,出版商,藏書地, 封面圖片,封面信息, 書內備註,整理備注
1,剃頭佬嘆五更一卷,第二冊,1,叹五更,清末民國廣州狀元坊太平新街以文堂刻本,以文堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,无
2,改良洋烟自嘆一卷,第二冊,4,无,清末民國廣州狀元坊太平新街以文堂刻本,以文堂,復旦大學圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,非嘆五更格式
3,新本洋烟自嘆一卷 ,第二冊,7,无,民國廣州市第七甫醉經堂刻本,醉經堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 書局廣告",原書版框高一五五毫米 寬一〇二毫米,封面寫《醉經書局》，內頁寫“醉經堂機器板”，非叹五更格式。
4,客途秋恨一卷  ,第二冊,10,无,清末民國第七甫五桂堂刻本,廣州五桂堂,廣州圖書館,无,無封面,无,无
5,客途秋恨一卷,第二冊,13,无,清末民國禪山走馬路芹香閣刻本,芹香閣,佛山市順德圖書館,无,"插畫, 書名, 書局信息, 畫家信息",題 芹香閣重訂 原書版框高一六六毫米 寬一一三毫米,內頁寫“佛山芹香閣板”
6,客途秋恨龍舟歌一卷,第二冊,16,龍舟,民國廣州市第七甫醉經堂刻本,醉經堂,廣州大典研究中心,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",原書版框高一五四毫米 寬一〇二毫米,封面寫“醉經書局”《正訂客途秋恨》，內頁標題《客途秋恨龍舟歌》，下寫“醉經堂機器板”
7,正板客途秋恨一卷  ,第二冊,19,无,民國廣州市光復中路五桂堂鉛印本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",无,封面寫“省港五桂堂書局印行”，內頁寫“五桂堂機印”
8,龍舟馬迪發夢一卷  ,第二冊,22,龍舟,清刻民國省港五桂書局印本,五桂書局,日本天理大學附屬天理圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",无,封面寫“省港五桂堂書局印行”，內頁標題《龍舟馬迪發夢》
9,新本龍舟歌馬迪嘆五更一卷 ,第二冊,25,"叹五更, 龍舟",清省城□文□刻民國廣州市以文堂印本,以文堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,內頁標題《新本龍舟歌馬迪嘆五更》
10,起解李旦一卷 ,第二冊,29,无,清末民國第七甫五桂堂刻本,廣州五桂堂,復旦大學圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,无
11,莫做亂世人二卷  ,第二冊,32,无,清末民國刻本,無信息,日本天理大學附屬天理圖書館,无,"插畫, 書名, 畫家信息",无,无
12,莊子試妻二卷,第二冊,36,龍舟,清省城靖遠大街德文堂刻本,德文堂,廣東省立中山圖書館,无,"分類, 插畫, 書名, 書局信息",原書版框高一六二毫米 寬一一〇毫米,封面寫“新出龍舟歌”，結尾寫“此書乃改惡從善大有益”
13,桂枝寫狀一卷,第二冊,42,南音,清省城廣文堂刻本,廣文堂,德國巴伐利亞州立圖書館,无,"插畫, 書名, 書局信息",題 閒情居主 較訂,封面寫“桂枝寫狀南音”
14,桃花送藥一卷,第二冊,45,无,清末民國□□堂刻廣州市光復中路醉經書局印本,醉經書局,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 書局廣告",原書版框高一五五毫米 寬一〇二毫米,封面寫“醉經書局”，另有“本局專辦……機板南音龍舟班本搜羅新出名優唱本……發行”
15,新本桃花送藥二卷,第二冊,48,无,清末民國佛山走馬路芹香閣刻本,芹香閣,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 畫家信息",題 佛鎮芹香閣 重訂 原書版框高一六〇毫米 寬一〇二毫米,內頁寫“佛山芹香閣機器板”
16,桃花妹送藥一卷,第二冊,52,无,民國西堤二馬路正興大街成文堂刻本,成文堂,首都圖書館,无,"插畫, 書名, 書局信息",无,封面人物腿上文字疑似“龍舟”。內頁標題《桃花妹送藥》
17,豈有唔嬲三卷,第二冊,55,无,清末民國廣州狀元坊太平新街以文堂刻本,以文堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,內頁寫“以文堂機器板”
18,新本龍舟歌徐庶歸家二卷,第二冊,60,龍舟,清同益堂刻本,同益堂,復旦大學圖書館,无,"分類, 書名",題 龍舟松 撰,封面寫“龍舟松原本分句合鑼鼓（皮）”
19,殺子有報三卷,第二冊,66,无,清末民國以文堂刻本,以文堂,廣州大典研究中心,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",无,內頁寫“以文堂機器板”
20,殺妻一卷,第二冊,72,南音,清□□堂刻本,無信息,日本天理大學附屬天理圖書館,无,"分類, 插畫, 書名",无,封面寫“□□欄孫家 剎妻南音”
21,龍舟煙友細談一卷,第二冊,75,龍舟,民國廣州市第七甫醉經堂刻本,醉經堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,封面標題為《煙友世談》
22,酒樓戲鳳一卷,第二冊,78,无,清末民國廣州狀元坊太平新街以文堂刻本,以文堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,无
23,重訂陳世美五弄琵琶一卷,第二冊,81,无,清佛山走馬路芹香閣刻本,芹香閣,廣州大典研究中心,无,"插畫, 書名, 書局信息, 畫家信息",題 佛鎮芹香閣 重訂,无
24,陳世美五弄琵琶一卷,第二冊,84,龍舟,清末民國□□堂刻香港五桂堂印本,香港五桂堂,日本金文京先生藏本,无,"分類, 插畫, 書名, 書局信息, 書局廣告, 畫家信息",題 □□堂主人 重訂,封面寫“正字龍舟”
